gender,study_hours,attendance,sleep_hours,parental_education,internet,extra_act,pt_job,p_grade,F_score,final_grade
Male,5.9,91.7,4.7,Bachelors,Yes,Yes,Yes,57.3,100,A
Male,4.2,90.9,8.6,None,No,Yes,No,69.2,92.4,A
Male,3.1,81.5,6.8,Masters,Yes,Yes,No,69,77,C
Female,4.9,79.3,7.3,None,No,No,No,79.2,95.1,A
Female,5.3,86,7.9,Masters,Yes,No,No,60.7,88.8,B
Male,1.7,100,5.6,Bachelors,Yes,Yes,Yes,86.4,93.2,A
Female,4.4,72.6,7.4,High School,Yes,No,Yes,93.6,96.4,A
Female,4.6,70.3,6.5,Masters,Yes,Yes,No,69.5,67.2,D
Female,3.1,86.6,7.8,Bachelors,Yes,No,No,85,84.6,B
Female,5.6,85.5,4.2,Bachelors,Yes,Yes,Yes,57.3,89.8,B
Female,3.3,86.7,6.7,Bachelors,Yes,No,No,82.9,90.3,A
Male,3.7,87.4,6.1,Bachelors,Yes,Yes,Yes,82.6,82.5,B
Male,3.2,82.8,7.3,High School,Yes,Yes,No,80.4,84.5,B
Male,3.5,99.9,7.4,Bachelors,No,Yes,Yes,69.8,72.1,C
Female,1.9,69,6,High School,Yes,No,Yes,34.5,53.2,F
Female,1.3,76.7,5.9,Masters,No,Yes,Yes,62.3,74,C
Male,5.9,84,6.7,High School,Yes,No,No,62.5,96.8,A
Female,2.2,68.6,5.7,High School,Yes,Yes,No,58.3,81.2,B
Male,2,83.2,7.8,Bachelors,Yes,Yes,No,71.5,85.4,B
Male,0.5,100,6.4,Masters,Yes,Yes,No,65,81.1,B
Male,2.5,85.2,3.3,Bachelors,Yes,No,No,60.1,83.9,B
Female,1.5,87.3,6.4,High School,Yes,Yes,Yes,57.3,71.2,C
Female,6,72.4,5.6,Bachelors,Yes,No,No,61.4,85.5,B
Male,5,78.8,4.8,High School,Yes,No,No,83.5,98.4,A
Male,2.5,81.2,5.3,None,Yes,No,No,62.1,82.6,B
Male,6.9,81.8,6.9,None,Yes,Yes,Yes,63.8,91.6,A
Male,5,97.8,8.4,Bachelors,Yes,No,No,64.5,91.3,A
Female,3,90.6,7.2,High School,Yes,No,Yes,74.1,84.3,B
Female,0.5,73.9,6.1,Masters,Yes,Yes,No,75.5,74.6,C
Male,6.9,87.5,7.3,High School,Yes,No,Yes,33.5,88.6,B
Male,1.4,90,6.2,Bachelors,Yes,Yes,No,82.3,73.6,C
Female,1,96.4,6,High School,Yes,Yes,No,87.2,95.8,A
Female,5,100,5.4,None,Yes,Yes,No,57.4,87.1,B
Male,7.2,74.8,4.7,High School,Yes,Yes,No,58.3,89.9,B
Male,5.6,76.9,6.3,Bachelors,No,Yes,No,64.6,79.1,C
Male,4.3,72.4,7,Masters,Yes,Yes,No,60.9,97.6,A
Female,4.4,82.7,6.7,Bachelors,Yes,No,No,72.7,90.3,A
Female,4.8,89.7,6.3,High School,Yes,Yes,No,46.6,78.1,C
Female,4.6,94.9,5.7,None,Yes,Yes,No,56.6,92.6,A
Male,3.9,84.2,7.5,Bachelors,Yes,Yes,Yes,88.5,97,A
Male,3.7,81.8,5.2,Bachelors,Yes,No,No,58.9,77,C
Female,3.4,86.5,7.7,High School,Yes,No,No,84.9,96.8,A
Female,2.4,76.6,5.6,Bachelors,Yes,No,No,74.3,72.1,C
Male,3.1,100,5.9,Bachelors,Yes,No,No,48.3,75.4,C
Female,1,68.9,5,High School,Yes,Yes,No,77.6,57.6,F
Female,3.4,86.8,6.2,High School,No,No,Yes,68.6,67.6,D
Male,2,100,8,Masters,Yes,Yes,Yes,64.5,91.2,A
Female,1.8,85.1,7.4,High School,Yes,Yes,Yes,72.9,86.8,B
Male,3.8,83.1,8,High School,Yes,No,No,75.7,89.5,B
Male,5.6,81.4,7.4,Bachelors,Yes,Yes,No,78.5,100,A
Male,4.9,83.2,5.5,Masters,Yes,No,No,84.1,93.4,A
Male,1.1,98.7,6.4,High School,Yes,No,No,74.9,78.7,C
Male,2,62.9,5.9,Bachelors,Yes,Yes,Yes,53.5,60.8,D
Male,4.9,100,8.4,High School,Yes,Yes,No,64.3,96.1,A
Male,2,70.8,5.4,High School,Yes,Yes,No,100,83,B
Female,3.2,82.3,7.9,High School,Yes,No,No,78.7,94,A
Male,4.3,80.7,7.9,Masters,Yes,No,No,98.4,100,A
Male,2,90.9,9,High School,Yes,Yes,No,86.7,94.6,A
Female,3.7,69,6.3,High School,Yes,Yes,No,72.9,87.7,B
Female,1.5,89.6,7.7,Bachelors,Yes,No,No,73.6,82.1,B
Female,2.6,100,9.5,Masters,Yes,No,Yes,69.6,80.1,B
Male,4,71.4,6.1,High School,No,Yes,Yes,49.1,57.8,F
Female,1.1,86.9,5,Bachelors,Yes,Yes,No,70.2,74.3,C
Male,4.2,78.4,4.5,High School,No,No,No,84.5,82.5,B
Male,3.5,89.3,7.7,Bachelors,Yes,Yes,No,62.8,85.9,B
Male,4.3,85.2,4.5,Bachelors,Yes,Yes,No,74.9,88.4,B
Male,3.8,78.6,6.4,Bachelors,Yes,No,No,80.2,100,A
Female,5.5,89.9,7.3,High School,No,No,Yes,59.1,75.6,C
Female,3.7,100,7,High School,Yes,Yes,No,64.6,78,C
Male,2.9,83.1,7.3,High School,Yes,Yes,No,57.8,80,B
Male,3.7,92.2,7.1,Bachelors,Yes,Yes,Yes,60.1,80.2,B
Male,4.3,72.1,8.3,High School,Yes,Yes,No,54.5,82.2,B
Female,3.6,75.4,5.7,Masters,Yes,No,No,59.2,79.6,C
Male,3.6,89.7,6,None,No,Yes,No,87,96.3,A
Male,2.4,99.8,5.9,None,No,No,No,59,65.4,D
Female,2.5,88.6,7.8,PhD,Yes,No,No,71.5,79.9,C
Female,1.4,81.9,7.9,Bachelors,No,Yes,No,64,71.6,C
Male,6.1,85,7.3,Masters,Yes,Yes,No,84.1,100,A
Female,1.6,72.5,8.2,High School,Yes,Yes,No,85.7,93.9,A
Female,2.5,91,5.4,Bachelors,Yes,No,Yes,80.4,87.5,B
Male,2.4,93.8,8.8,Bachelors,Yes,No,No,73.7,86.3,B
Female,4.8,80.5,8.6,Bachelors,No,Yes,Yes,67.2,77.6,C
Male,3.1,80.3,7.7,Masters,Yes,No,Yes,55.7,70.2,C
Female,5.4,87.7,8.9,High School,Yes,No,No,93.3,100,A
Male,2.5,80.6,4.8,High School,Yes,No,Yes,60.9,73.5,C
Male,3.9,84.3,6.2,None,Yes,Yes,No,78,91.2,A
Male,2.2,100,5.9,High School,Yes,Yes,Yes,82.7,78.1,C
Female,6.7,82.5,7.7,Bachelors,No,No,No,63.3,89,B
Male,1.7,81.4,5.5,None,Yes,Yes,Yes,82.5,82,B
Female,4,78.5,7.7,Bachelors,Yes,Yes,Yes,79.2,89.5,B
Male,4.5,92.4,8.4,Bachelors,Yes,Yes,Yes,90.7,100,A
Male,4.1,83.2,7.6,High School,Yes,Yes,No,64.4,88.7,B
Female,3.2,78.5,7.1,High School,Yes,Yes,No,54.6,86,B
Male,3.3,98.2,5.6,PhD,Yes,No,Yes,63.9,82.9,B
Male,3.6,99.2,5.8,Bachelors,Yes,Yes,No,72.5,88.6,B
Female,3.3,79,8.3,Bachelors,Yes,Yes,No,70.7,79.2,C
Male,4.9,66.3,7.7,High School,Yes,No,No,65.3,85.1,B
Male,6.8,95.1,6.8,High School,Yes,Yes,No,47.1,80.2,B
Male,2.7,78.2,6.3,None,Yes,Yes,No,75.6,80.2,B
Male,1.4,92.9,4.4,Bachelors,Yes,No,Yes,93.7,80.3,B
Female,3.4,65.3,5.5,Bachelors,Yes,No,No,75.6,69.8,D
Female,7.4,93.9,9.1,High School,No,No,No,77.3,100,A
Male,2.3,72.9,5.3,Masters,Yes,No,No,76.9,80.8,B
Female,6,92.3,7,None,Yes,Yes,Yes,74.8,100,A
Male,6,85.1,8,Bachelors,Yes,No,Yes,81.2,99.5,A
Female,2.7,75.5,5.3,High School,Yes,Yes,No,74.7,80.7,B
Male,4.4,80.9,7,Bachelors,Yes,No,No,66.2,86.6,B
Male,5.9,91.9,7.9,Masters,No,Yes,No,60.4,98.8,A
Male,2.9,86.1,6.8,Bachelors,Yes,No,No,67,81.9,B
Male,3.2,90.8,10,PhD,Yes,No,Yes,73.8,79,C
Male,2.6,100,4.8,Bachelors,Yes,No,No,66.2,91.7,A
Male,2,69.4,8.1,PhD,Yes,Yes,No,73.8,78.8,C
Female,2.5,100,6.6,Bachelors,Yes,Yes,No,75.3,84.8,B
Male,1.7,86,7.7,High School,No,No,Yes,80,66.5,D
Female,3.6,76,7.3,High School,Yes,No,No,85.4,91.1,A
Male,2.3,71.7,5.9,High School,Yes,Yes,No,70.9,74.2,C
Female,3.9,83.1,7.1,None,Yes,No,Yes,54.3,86.3,B
Female,1.2,94.2,4.6,Masters,Yes,No,No,65.9,71.2,C
Female,4,83.7,7.5,Masters,Yes,Yes,No,70.5,83.5,B
Male,4.8,100,7.2,High School,Yes,No,Yes,48,89.8,B
Male,0.5,70.5,7.6,High School,Yes,Yes,No,86.7,80.3,B
Female,4.1,84.9,8.1,Masters,Yes,Yes,No,71.7,91.6,A
Male,5.3,72.5,7.2,Bachelors,Yes,Yes,No,74.6,95.8,A
Female,1.7,88.6,7,High School,Yes,No,No,86.4,84.4,B
Male,6,93.9,5.7,Bachelors,Yes,No,No,62.4,96.1,A
Female,4.1,80.8,5.9,High School,Yes,Yes,Yes,76.9,92.6,A
Female,2.4,59,8.2,High School,Yes,No,No,68.7,75.5,C
Male,3.4,87,8.5,Bachelors,Yes,No,No,67.8,85.1,B
Female,4.3,89.4,6.5,High School,Yes,No,No,60.7,93.8,A
Male,3.6,89,6.9,None,Yes,Yes,No,90,81.4,B
Female,4.3,97.4,5.7,High School,Yes,No,Yes,65.5,98.8,A
Female,2.1,74.3,8.2,High School,No,Yes,No,78.4,65.4,D
Male,3.8,91.8,7.6,High School,Yes,Yes,No,47.5,77.6,C
Male,1.4,96.9,9.1,Masters,Yes,Yes,Yes,84.2,85.6,B
Male,3.3,67.2,5.7,Bachelors,Yes,Yes,No,82.6,81.4,B
Female,2.1,88.2,6.3,Bachelors,Yes,No,No,71.2,85.4,B
Male,2.4,80,7.1,High School,Yes,Yes,No,67.3,71.9,C
Female,5.4,84.2,7.6,High School,Yes,No,Yes,74.8,94.4,A
Female,5.1,88.5,6.5,Bachelors,Yes,Yes,No,97.5,100,A
Male,4.4,80.1,5.8,Masters,Yes,Yes,Yes,48.8,77.1,C
Male,1.9,78.2,7.9,PhD,Yes,No,Yes,79.4,76.8,C
Female,3,85.3,7.7,High School,Yes,No,No,59.1,79.8,C
Female,5.3,74.1,5.7,Bachelors,Yes,Yes,Yes,69.8,82.2,B
Male,3.7,74.1,8.4,None,Yes,Yes,Yes,67,77.4,C
Male,7,91.8,8.2,Bachelors,Yes,Yes,Yes,64.9,100,A
Male,4.1,73.5,7,Masters,Yes,Yes,Yes,69.9,87.2,B
Male,3.8,91.7,6.9,High School,Yes,No,Yes,56.4,76.4,C
Male,3,89.6,7.5,None,No,No,No,82.4,79.6,C
Female,3.7,67.7,5.8,Masters,Yes,Yes,Yes,48.5,71.4,C
Female,3.3,78.2,6.8,None,Yes,No,Yes,76.5,80.8,B
Female,4.6,96.9,4.2,Masters,Yes,No,Yes,66.1,91.1,A
Female,4.9,75.2,7.9,Bachelors,Yes,Yes,No,55.9,78.8,C
Male,2.3,80.4,4.9,None,Yes,Yes,No,72.4,66.7,D
Male,1.5,89.6,8.6,High School,Yes,No,No,51.3,68.8,D
Male,0.7,92.8,6.4,High School,Yes,No,No,70.5,69.9,D
Female,4.3,82.5,6.5,Masters,Yes,Yes,No,52.9,80.7,B
Female,1.8,79,6,Masters,Yes,Yes,No,75.5,73.3,C
Male,0.5,99.2,6.5,None,No,Yes,Yes,58.9,68.8,D
Male,4.1,100,8.5,High School,Yes,No,No,64.6,90.8,A
Female,7.2,94.8,3.8,Masters,Yes,Yes,No,73.5,100,A
Female,3.5,85.9,8.3,Masters,Yes,Yes,No,60.7,85,B
Male,4.8,76.9,7.2,High School,Yes,No,Yes,69.3,86,B
Male,3.6,76.7,5.4,Bachelors,Yes,No,No,51.8,73.1,C
Female,3.4,90.2,5.5,High School,Yes,No,Yes,77.6,87.6,B
Male,4.9,89.2,8.8,High School,Yes,Yes,Yes,91.2,96.5,A
Male,3.1,99,5.7,None,Yes,Yes,No,100,100,A
Male,3.9,91.5,5.4,Bachelors,No,Yes,No,71.1,82.1,B
Female,4,70,8.2,Masters,Yes,Yes,No,79.5,80.3,B
Female,2.5,95.5,7.2,None,Yes,No,No,48.6,76.9,C
Female,5,75,5.7,Bachelors,No,Yes,Yes,88,81.7,B
Female,3.2,81.2,7.1,Masters,Yes,Yes,Yes,79.3,88.1,B
Female,2.4,87.5,5.6,Bachelors,Yes,Yes,Yes,64.2,88.1,B
Female,4.3,100,8.1,PhD,Yes,Yes,No,84.8,97.3,A
Female,2.2,100,8.1,High School,Yes,No,Yes,66.9,83.4,B
Male,3.5,91.1,7.4,None,Yes,Yes,Yes,64.5,72.8,C
Male,3.5,83.2,7.2,High School,Yes,Yes,No,75.7,90.5,A
Male,5.1,90.3,8.9,High School,Yes,Yes,Yes,57.2,83.8,B
Male,4.2,93.9,6.8,Masters,Yes,Yes,No,82.3,93.1,A
Male,3.5,81.8,5.4,Bachelors,Yes,Yes,No,57.3,71.2,C
Male,4.7,100,7.3,Bachelors,Yes,No,No,57.4,95.3,A
Male,5.6,87.3,9.3,Bachelors,Yes,No,No,59.1,99.6,A
Female,4.3,90,5.6,Masters,Yes,No,No,79.1,92.4,A
Female,3.5,91.7,6.4,High School,Yes,No,Yes,62.6,75.4,C
Male,1.5,89.2,7.3,High School,Yes,No,No,53.8,80.8,B
Male,1.9,93.4,6.7,High School,Yes,No,No,62.7,72.9,C
Female,3,78.8,5.6,Bachelors,Yes,Yes,Yes,69.6,63.7,D
Male,2.6,79.4,8.1,High School,Yes,Yes,Yes,55.8,75.3,C
Male,3.2,74,9.6,Bachelors,Yes,Yes,No,56.2,71.7,C
Female,3.6,89.4,7,Bachelors,Yes,No,No,95.3,100,A
Male,4.3,92.8,5.7,High School,Yes,No,No,59.7,83.3,B
Female,3.4,89.6,4.9,Bachelors,Yes,No,No,66.1,85.6,B
Male,4.2,100,7.1,PhD,No,Yes,Yes,65.6,93.1,A
Female,3.6,84.9,8.1,High School,Yes,No,No,64.9,77.3,C
Female,0.5,91.7,7.4,Bachelors,Yes,Yes,No,77.5,74.8,C
Female,2.1,74.1,6.8,Masters,Yes,Yes,Yes,81.4,76.7,C
Male,3.3,81.1,6.1,Bachelors,No,Yes,No,66.3,85.3,B
Female,1.7,92,5.5,Masters,Yes,Yes,No,55.2,68.6,D
Male,4.4,93.5,7.8,Bachelors,Yes,Yes,No,85.3,96.4,A
Male,5.8,82.1,7.9,Bachelors,Yes,Yes,Yes,68.9,95.7,A
Male,5.3,84.3,4.9,High School,Yes,Yes,No,90.8,96.1,A
Male,3.2,69.8,8.7,Masters,Yes,No,No,43.1,70.4,C
Female,5.7,81.4,7.5,Masters,Yes,No,No,72.3,85.8,B
Female,3.7,93.9,8.5,High School,No,No,No,93,100,A
Male,3,90.8,5.2,Bachelors,No,Yes,Yes,65.8,65.8,D
Male,2.6,90,5.2,None,No,No,No,67.3,72.4,C
Female,3,85.5,6.6,Bachelors,Yes,No,No,73.5,83.6,B
Male,2.9,85.1,7.4,Bachelors,Yes,Yes,Yes,63.3,89.5,B
Female,3.8,78.4,9,None,Yes,Yes,No,66.3,77.9,C
Male,3.7,92,7.6,Masters,Yes,Yes,No,65.9,100,A
Male,3.5,89.2,6.5,Bachelors,Yes,Yes,No,62.5,88.3,B
Female,4.2,89.9,5.6,Masters,Yes,No,Yes,84.7,93.5,A
Male,5.3,79.7,8.3,PhD,Yes,No,No,75.5,89,B
Female,4.9,63.5,5.6,Bachelors,Yes,Yes,No,73,87.6,B
Male,1.3,96,8.8,Bachelors,Yes,No,No,79.7,80.5,B
Male,0.5,80.2,6.5,Bachelors,Yes,No,No,66.8,75.4,C
Male,4.9,76.4,8.7,None,Yes,No,No,60.7,80.7,B
Female,1.4,91.9,7.6,Masters,Yes,Yes,Yes,62.8,73,C
Male,3.2,81.1,6.6,High School,Yes,No,No,70,78.4,C
Male,1.7,95.6,6.2,PhD,Yes,Yes,No,57.3,69.5,D
Male,0.8,91.2,6.4,Bachelors,Yes,No,No,64,76.2,C
Male,4.3,91.8,7.3,High School,Yes,Yes,Yes,63.8,90,A
Female,4.6,71.3,6.9,Bachelors,Yes,Yes,No,95.5,100,A
Female,2.6,97.1,6.1,Bachelors,Yes,No,No,36.7,60,D
Male,0.5,87.6,6.6,PhD,Yes,Yes,No,67.8,78.3,C
Female,2.7,81.3,6.9,High School,Yes,Yes,Yes,90.7,100,A
Male,4.1,86.4,4.2,Masters,No,Yes,Yes,71.5,75.6,C
Male,1.3,67.2,7.3,Bachelors,Yes,No,No,79,84.1,B
Male,3.8,89.1,5.6,High School,No,Yes,Yes,71.2,77.9,C
Female,3.5,74.7,5.4,None,Yes,No,No,62,67.9,D
Female,4.4,71.5,4.8,Bachelors,Yes,Yes,Yes,43.1,67,D
Female,3.7,69.8,4.6,High School,No,Yes,No,72.5,80.9,B
Female,2,96.1,5.2,Bachelors,Yes,Yes,No,60.7,72.1,C
Female,5.3,78.7,5.9,PhD,Yes,Yes,No,60.4,83,B
Female,3.3,100,9.1,High School,Yes,Yes,No,64,93.9,A
Female,3.5,79.6,6.2,High School,Yes,Yes,No,90.9,91.4,A
Female,2.1,67.9,7,High School,No,No,Yes,98.9,79.7,C
Female,2.8,73.8,7.3,High School,Yes,No,Yes,72.6,77.7,C
Male,2.2,97.4,7,Masters,Yes,Yes,No,64.4,85,B
Female,3.2,83.4,6.7,Bachelors,Yes,Yes,No,55.9,75.4,C
Female,6.1,79.5,5.4,High School,Yes,No,No,75.6,96.4,A
Female,1.4,86.6,8.5,High School,Yes,Yes,No,91.4,81.8,B
Female,1.1,90,9,High School,Yes,Yes,No,67,85.8,B
Female,5.7,96.2,4.8,None,Yes,No,No,41.5,80.9,B
Female,3.2,99.5,5.6,High School,Yes,No,Yes,78,93.9,A
Female,2.5,81.4,6.5,None,Yes,No,No,81.8,81.9,B
Female,5.1,71.7,5.6,Bachelors,Yes,Yes,No,51,80.4,B
Female,2.6,80.9,7.4,High School,Yes,Yes,No,72.1,78.8,C
Female,6.2,87.6,5.9,PhD,Yes,No,No,75.4,92.7,A
Female,4.5,75.4,9.4,Bachelors,Yes,Yes,No,69.1,79.1,C
Male,2.8,75.4,8.2,Masters,Yes,Yes,No,60.5,70.7,C
Male,6.7,88.4,7.1,None,No,Yes,No,82.2,99.5,A
Female,2.6,84.5,8,High School,Yes,Yes,Yes,65.2,79.2,C
Female,4.6,85.3,8.1,High School,No,No,Yes,52.2,82.2,B
Male,3.9,77.4,6.1,Masters,Yes,No,No,45.4,70.4,C
